C N N C N N N N N C N
32 Private Bachelors 13 Never-married Other-service Unmarried Other Male 0 0
32 Private HS-grad 9 Married-civ-spouse Machine-op-inspct Husband White Male 0 0
47 Private Some-college 10 Married-civ-spouse Prof-specialty Husband White Male 0 0
50 Private Some-college 10 Married-civ-spouse Sales Husband White Male 0 0
77 Private 7th-8th 4 Widowed Priv-house-serv Unmarried White Female 0 0
33 Private HS-grad 9 Divorced Exec-managerial Not-in-family White Male 0 0
47 Self-emp-inc HS-grad 9 Married-civ-spouse Machine-op-inspct Husband White Male 0 0
64 Private 11th 7 Married-civ-spouse Transport-moving Husband White Male 0 0
34 Private HS-grad 9 Married-civ-spouse Exec-managerial Husband White Male 0 0
34 Local-gov HS-grad 9 Never-married Prof-specialty Unmarried Black Female 0 0
67 Local-gov Masters 14 Never-married Exec-managerial Other-relative White Female 15831 1
37 Local-gov HS-grad 9 Never-married Other-service Not-in-family White Male 0 0
34 Private Bachelors 13 Married-civ-spouse Prof-specialty Husband White Male 0 1
50 Self-emp-not-inc Doctorate 16 Divorced Sales Not-in-family White Male 0 0
60 Private Bachelors 13 Married-civ-spouse Exec-managerial Husband White Male 0 1
46 Local-gov Bachelors 13 Divorced Prof-specialty Unmarried White Female 0 0
44 Private Bachelors 13 Married-civ-spouse Craft-repair Husband White Male 7298 1
43 Private HS-grad 9 Married-civ-spouse Sales Other-relative White Female 0 0
48 Private Masters 14 Married-civ-spouse Prof-specialty Husband White Male 0 1
36 Private HS-grad 9 Never-married Adm-clerical Other-relative White Female 2907 0
48 Private Some-college 10 Never-married Adm-clerical Not-in-family White Female 0 0
37 Private Some-college 10 Married-civ-spouse Adm-clerical Husband White Male 0 0
51 Private Masters 14 Married-civ-spouse Sales Husband White Male 0 1
52 Private Masters 14 Married-civ-spouse Prof-specialty Husband White Male 0 1
27 Private 5th-6th 3 Never-married Sales Own-child Asian-Pac-Islander Female 0 0
43 Local-gov Masters 14 Married-civ-spouse Exec-managerial Husband White Male 0 1
23 Private HS-grad 9 Never-married Other-service Own-child Black Male 0 0
66 Private Assoc-acdm 12 Married-civ-spouse Machine-op-inspct Husband White Male 5556 1
37 Self-emp-not-inc 10th 6 Married-civ-spouse Other-service Wife White Female 2635 0
35 Private Some-college 10 Never-married Adm-clerical Not-in-family White Female 0 0
42 Local-gov Bachelors 13 Married-civ-spouse Prof-specialty Husband White Male 5178 1
49 Private 10th 6 Never-married Other-service Unmarried White Female 0 0
51 Local-gov Bachelors 13 Married-civ-spouse Prof-specialty Wife White Female 0 1
71 Federal-gov HS-grad 9 Widowed Exec-managerial Not-in-family White Male 0 0
50 Local-gov Masters 14 Married-civ-spouse Prof-specialty Wife White Female 0 1
63 Private HS-grad 9 Widowed Adm-clerical Unmarried White Female 0 0
41 State-gov Masters 14 Never-married Prof-specialty Own-child White Female 0 0
24 State-gov Some-college 10 Never-married Machine-op-inspct Own-child White Female 0 0
41 Local-gov Some-college 10 Divorced Other-service Unmarried White Female 0 0
33 Local-gov Assoc-acdm 12 Married-civ-spouse Adm-clerical Husband White Male 0 0
42 Local-gov Some-college 10 Married-civ-spouse Craft-repair Husband Black Male 0 0
23 Private Bachelors 13 Never-married Sales Own-child Asian-Pac-Islander Male 0 0
49 Private Assoc-voc 11 Divorced Prof-specialty Not-in-family White Female 0 0
28 Self-emp-not-inc 12th 8 Married-civ-spouse Craft-repair Not-in-family White Male 0 0
31 Private 5th-6th 3 Married-civ-spouse Handlers-cleaners Husband White Male 0 0
28 Private Bachelors 13 Never-married Adm-clerical Own-child Black Male 0 0
37 Private 11th 7 Married-civ-spouse Craft-repair Husband White Male 0 0
19 Private Some-college 10 Never-married Exec-managerial Own-child White Male 0 0
51 Local-gov Bachelors 13 Married-civ-spouse Prof-specialty Husband White Male 0 0
25 Private Assoc-voc 11 Married-civ-spouse Sales Husband White Male 0 0
49 Self-emp-inc HS-grad 9 Married-civ-spouse Exec-managerial Husband White Male 0 0
47 Private HS-grad 9 Divorced Sales Unmarried White Female 0 0
48 Local-gov HS-grad 9 Married-civ-spouse Other-service Husband White Male 0 0
41 Local-gov HS-grad 9 Divorced Adm-clerical Not-in-family White Female 0 0
32 Private HS-grad 9 Divorced Adm-clerical Unmarried White Female 0 0
46 Private HS-grad 9 Married-civ-spouse Handlers-cleaners Husband Black Male 0 0
17 Private 10th 6 Never-married Sales Own-child White Female 0 0
34 Private 11th 7 Divorced Handlers-cleaners Not-in-family White Male 0 0
44 Private HS-grad 9 Never-married Adm-clerical Other-relative White Female 0 0
23 Private Assoc-acdm 12 Never-married Other-service Own-child White Female 0 0
35 Private Some-college 10 Never-married Prof-specialty Unmarried Asian-Pac-Islander Male 4650 0
30 Private Bachelors 13 Never-married Transport-moving Not-in-family White Male 4865 0
34 Private Bachelors 13 Married-civ-spouse Sales Husband White Male 0 0
34 Federal-gov Prof-school 15 Married-civ-spouse Prof-specialty Husband White Male 0 1
39 Private Assoc-voc 11 Married-civ-spouse Adm-clerical Husband White Male 0 0
28 Private Assoc-voc 11 Married-civ-spouse Adm-clerical Husband White Male 2407 0
53 Local-gov Masters 14 Married-civ-spouse Exec-managerial Husband White Male 7688 1
34 Private 11th 7 Never-married Transport-moving Unmarried White Male 0 0
21 Private HS-grad 9 Never-married Craft-repair Not-in-family White Male 0 0
53 Private 7th-8th 4 Married-civ-spouse Farming-fishing Husband White Male 0 0
54 Self-emp-not-inc Masters 14 Divorced Prof-specialty Not-in-family White Male 0 1
32 Private Some-college 10 Divorced Sales Unmarried White Female 0 0
39 State-gov Bachelors 13 Never-married Prof-specialty Not-in-family White Male 0 0
39 Private Some-college 10 Divorced Machine-op-inspct Unmarried White Female 0 0
29 Private HS-grad 9 Married-civ-spouse Exec-managerial Husband White Male 0 0
29 Private HS-grad 9 Divorced Prof-specialty Not-in-family White Female 0 0
43 Private HS-grad 9 Married-civ-spouse Craft-repair Husband White Male 0 1
39 Private Masters 14 Married-civ-spouse Adm-clerical Husband White Male 0 0
45 Private Some-college 10 Divorced Exec-managerial Not-in-family White Female 0 0
36 Private Some-college 10 Married-civ-spouse Machine-op-inspct Husband White Male 0 0
43 Local-gov Some-college 10 Divorced Adm-clerical Not-in-family White Female 594 0
31 Private HS-grad 9 Never-married Sales Unmarried Black Female 0 0
39 Private HS-grad 9 Married-civ-spouse Exec-managerial Husband White Male 0 1
32 Private Bachelors 13 Married-civ-spouse Prof-specialty Wife White Female 0 1
45 Local-gov HS-grad 9 Married-civ-spouse Craft-repair Husband Black Male 0 1
19 Private HS-grad 9 Never-married Handlers-cleaners Own-child White Male 0 0
43 Private Some-college 10 Married-civ-spouse Prof-specialty Husband White Male 0 1
32 Private Assoc-voc 11 Married-civ-spouse Transport-moving Husband White Male 0 0
43 Self-emp-not-inc Bachelors 13 Never-married Sales Not-in-family White Female 0 0
34 Private Bachelors 13 Married-civ-spouse Adm-clerical Husband White Male 0 0
66 Self-emp-inc Some-college 10 Married-civ-spouse Prof-specialty Husband White Male 0 0
37 Private Assoc-voc 11 Married-civ-spouse Craft-repair Husband White Male 0 1
46 Self-emp-inc Assoc-acdm 12 Married-civ-spouse Exec-managerial Wife White Female 0 0
23 Private Bachelors 13 Never-married Prof-specialty Own-child White Female 0 0
41 Private Bachelors 13 Never-married Prof-specialty Not-in-family White Male 0 1
63 Private HS-grad 9 Married-civ-spouse Handlers-cleaners Husband Black Male 0 0
55 Private HS-grad 9 Married-civ-spouse Handlers-cleaners Husband White Male 3103 1
35 Self-emp-not-inc Prof-school 15 Married-civ-spouse Prof-specialty Husband White Male 0 1
28 Private 9th 5 Never-married Craft-repair Not-in-family White Male 0 1
37 Private Bachelors 13 Married-civ-spouse Prof-specialty Husband White Male 0 1
43 Private Bachelors 13 Married-civ-spouse Prof-specialty Husband White Male 0 1
30 Self-emp-not-inc Assoc-voc 11 Never-married Craft-repair Own-child White Male 0 0
36 Local-gov Masters 14 Married-civ-spouse Prof-specialty Wife White Female 0 1
54 Private Bachelors 13 Married-civ-spouse Sales Husband White Male 0 1
36 Federal-gov Bachelors 13 Married-civ-spouse Adm-clerical Husband White Male 0 1
78 Self-emp-inc Bachelors 13 Married-civ-spouse Exec-managerial Husband White Male 0 1
77 Private Bachelors 13 Married-civ-spouse Exec-managerial Husband White Male 0 1
28 Private HS-grad 9 Married-spouse-absent Other-service Not-in-family Asian-Pac-Islander Female 0 0
39 Self-emp-not-inc HS-grad 9 Married-civ-spouse Craft-repair Husband White Male 0 1
37 Private Bachelors 13 Separated Tech-support Not-in-family Asian-Pac-Islander Male 0 0
34 Private Assoc-voc 11 Married-civ-spouse Prof-specialty Husband White Male 7298 1
22 Local-gov Bachelors 13 Never-married Prof-specialty Own-child White Female 0 0
54 Private Bachelors 13 Never-married Other-service Not-in-family White Female 0 0
21 Private Some-college 10 Never-married Sales Own-child White Female 0 0
36 Private 10th 6 Married-civ-spouse Craft-repair Husband White Male 0 0
62 Self-emp-not-inc HS-grad 9 Widowed Adm-clerical Other-relative White Female 0 0
40 Private Some-college 10 Married-civ-spouse Sales Husband White Male 0 1
47 Self-emp-not-inc Some-college 10 Divorced Prof-specialty Unmarried Black Female 0 0
38 Private Bachelors 13 Married-civ-spouse Sales Husband White Male 0 1
28 Private 5th-6th 3 Never-married Craft-repair Not-in-family White Male 0 0
46 Private Bachelors 13 Divorced Prof-specialty Unmarried White Female 0 0
22 Private Some-college 10 Married-civ-spouse Other-service Husband White Male 0 0
37 Private HS-grad 9 Divorced Sales Unmarried White Female 0 0
69 Private 10th 6 Separated Machine-op-inspct Not-in-family White Female 0 0
43 Private Bachelors 13 Married-civ-spouse Exec-managerial Husband White Male 0 1
53 Private Bachelors 13 Never-married Other-service Not-in-family Asian-Pac-Islander Female 0 1
20 Private HS-grad 9 Never-married Sales Own-child Black Female 0 0
22 Private Bachelors 13 Never-married Prof-specialty Not-in-family White Male 0 0
48 Private 9th 5 Married-civ-spouse Craft-repair Husband White Male 0 0
40 Federal-gov Masters 14 Married-civ-spouse Prof-specialty Husband White Male 0 1
39 Private Some-college 10 Divorced Other-service Not-in-family White Female 0 0
57 Private HS-grad 9 Married-civ-spouse Tech-support Husband Black Male 0 1
23 Private 10th 6 Never-married Other-service Unmarried White Male 0 0
25 Local-gov Bachelors 13 Married-civ-spouse Prof-specialty Wife White Female 0 1
22 Private HS-grad 9 Never-married Prof-specialty Own-child Black Male 0 0
23 Private 12th 8 Never-married Priv-house-serv Own-child White Male 0 0
41 Local-gov Bachelors 13 Married-civ-spouse Prof-specialty Husband White Male 0 1
25 Private Some-college 10 Never-married Machine-op-inspct Not-in-family White Female 0 0
58 Private Some-college 10 Married-civ-spouse Sales Husband White Male 0 0
33 Private HS-grad 9 Divorced Sales Not-in-family Asian-Pac-Islander Male 0 0
28 Private Masters 14 Married-civ-spouse Prof-specialty Husband White Male 0 0
19 Private 11th 7 Never-married Machine-op-inspct Not-in-family White Female 0 0
44 Private Some-college 10 Divorced Adm-clerical Other-relative White Female 0 0
68 Private Preschool 1 Never-married Machine-op-inspct Not-in-family White Male 0 0
33 State-gov HS-grad 9 Married-civ-spouse Craft-repair Husband White Male 0 1
24 Private HS-grad 9 Divorced Exec-managerial Not-in-family White Female 0 0
44 Self-emp-not-inc HS-grad 9 Married-civ-spouse Farming-fishing Husband White Male 0 0
38 Private Bachelors 13 Married-civ-spouse Exec-managerial Husband White Male 7688 1
31 Private HS-grad 9 Separated Craft-repair Unmarried White Female 0 0
29 Private HS-grad 9 Divorced Adm-clerical Not-in-family White Female 0 0
65 Private 9th 5 Widowed Sales Not-in-family White Female 0 0
55 Private HS-grad 9 Widowed Adm-clerical Other-relative White Female 0 0
49 Private HS-grad 9 Married-civ-spouse Exec-managerial Husband White Male 0 0
27 Private HS-grad 9 Never-married Machine-op-inspct Own-child Black Female 0 0
41 Private HS-grad 9 Divorced Sales Not-in-family White Male 0 0
33 Self-emp-not-inc Some-college 10 Married-civ-spouse Craft-repair Husband White Male 0 1
22 Self-emp-not-inc HS-grad 9 Never-married Farming-fishing Own-child White Male 0 0
41 Private HS-grad 9 Married-civ-spouse Prof-specialty Husband White Male 0 1
66 Private HS-grad 9 Married-civ-spouse Other-service Husband Black Male 0 0
38 Private Some-college 10 Divorced Sales Not-in-family White Male 0 0
43 Private HS-grad 9 Married-civ-spouse Machine-op-inspct Husband White Male 0 1
40 Local-gov Some-college 10 Married-civ-spouse Handlers-cleaners Husband White Male 0 0
32 Private Some-college 10 Married-civ-spouse Sales Husband White Male 0 1
30 Private HS-grad 9 Never-married Sales Unmarried White Female 0 0
35 Private Bachelors 13 Married-civ-spouse Adm-clerical Husband White Male 0 0
41 Private Masters 14 Married-civ-spouse Prof-specialty Husband White Male 15024 1
33 Local-gov Bachelors 13 Never-married Prof-specialty Not-in-family Amer-Indian-Eskimo Male 0 0
36 Private Bachelors 13 Married-civ-spouse Exec-managerial Husband White Male 0 1
33 Self-emp-not-inc Bachelors 13 Married-civ-spouse Prof-specialty Husband White Male 0 0
53 Private HS-grad 9 Married-civ-spouse Exec-managerial Husband White Male 0 1
27 Private Bachelors 13 Never-married Sales Not-in-family White Male 0 0
22 Private Bachelors 13 Never-married Handlers-cleaners Own-child White Female 0 0
26 Private HS-grad 9 Married-civ-spouse Sales Husband Black Male 0 0
64 Private HS-grad 9 Married-civ-spouse Sales Wife White Female 0 0
48 Private Some-college 10 Divorced Adm-clerical Unmarried White Female 0 0
23 Private HS-grad 9 Never-married Adm-clerical Own-child White Female 0 0
26 Private Some-college 10 Never-married Sales Unmarried White Female 0 0
35 Self-emp-not-inc Bachelors 13 Married-civ-spouse Prof-specialty Husband White Male 0 0
46 Private Some-college 10 Married-civ-spouse Sales Husband White Male 0 1
65 Self-emp-not-inc Some-college 10 Widowed Exec-managerial Unmarried White Female 0 0
53 Private HS-grad 9 Widowed Machine-op-inspct Not-in-family White Male 6849 0
18 Private 5th-6th 3 Never-married Other-service Other-relative White Male 0 0
34 Self-emp-not-inc Prof-school 15 Married-civ-spouse Prof-specialty Husband White Male 0 1
28 Private HS-grad 9 Never-married Machine-op-inspct Unmarried White Female 0 0
37 Private Bachelors 13 Married-civ-spouse Exec-managerial Husband White Male 0 1
59 Private Bachelors 13 Married-civ-spouse Prof-specialty Husband White Male 5013 0
32 Private Masters 14 Never-married Exec-managerial Not-in-family White Female 13550 1
31 Private Bachelors 13 Married-civ-spouse Prof-specialty Wife White Female 0 0
25 Local-gov Bachelors 13 Never-married Prof-specialty Not-in-family White Female 0 0
81 Private 1st-4th 2 Married-civ-spouse Prof-specialty Husband White Male 0 0
47 Private HS-grad 9 Separated Other-service Other-relative Black Female 0 0
39 Private HS-grad 9 Married-civ-spouse Craft-repair Husband White Male 0 0
37 Private Some-college 10 Married-civ-spouse Other-service Husband Black Male 0 0
44 Private HS-grad 9 Married-civ-spouse Machine-op-inspct Husband White Male 0 1
37 Private Assoc-acdm 12 Married-civ-spouse Craft-repair Husband White Male 0 0
41 Private Some-college 10 Married-civ-spouse Adm-clerical Husband White Male 0 1
55 Private Some-college 10 Married-civ-spouse Prof-specialty Husband White Male 0 1
60 Private Bachelors 13 Married-civ-spouse Sales Husband White Male 0 1
22 Private Assoc-acdm 12 Never-married Handlers-cleaners Not-in-family White Male 0 0
23 Private Bachelors 13 Never-married Sales Not-in-family White Male 0 0
19 Private HS-grad 9 Never-married Machine-op-inspct Not-in-family White Female 0 0
45 Private Some-college 10 Married-civ-spouse Machine-op-inspct Husband White Male 0 1
36 Private HS-grad 9 Separated Other-service Unmarried Black Female 0 0
46 Private Bachelors 13 Married-civ-spouse Prof-specialty Husband White Male 0 1
48 Private 11th 7 Married-civ-spouse Machine-op-inspct Husband White Male 0 0
39 Self-emp-not-inc HS-grad 9 Married-civ-spouse Other-service Husband White Male 0 0
29 Private Bachelors 13 Married-civ-spouse Transport-moving Husband White Male 0 0
39 Private HS-grad 9 Divorced Adm-clerical Not-in-family White Female 0 0
26 Private HS-grad 9 Never-married Exec-managerial Own-child Other Female 0 0
37 Private Assoc-acdm 12 Divorced Prof-specialty Unmarried White Male 0 0
49 Private Some-college 10 Married-civ-spouse Adm-clerical Wife White Female 0 1
27 Private Bachelors 13 Never-married Sales Own-child White Male 0 0
28 Private 10th 6 Never-married Handlers-cleaners Other-relative White Male 0 0
35 Private Some-college 10 Divorced Sales Unmarried White Female 0 0
17 Private 10th 6 Never-married Other-service Own-child White Male 0 0
18 Private HS-grad 9 Never-married Handlers-cleaners Own-child Amer-Indian-Eskimo Male 0 0
33 Private Some-college 10 Never-married Adm-clerical Unmarried Other Female 0 0
33 Private Assoc-acdm 12 Married-civ-spouse Sales Husband Asian-Pac-Islander Male 0 0
51 Private Some-college 10 Married-civ-spouse Adm-clerical Wife White Female 0 0
49 Private HS-grad 9 Never-married Adm-clerical Own-child Asian-Pac-Islander Female 0 0
49 Self-emp-inc Some-college 10 Divorced Exec-managerial Not-in-family White Male 0 0
41 Private Some-college 10 Married-civ-spouse Sales Husband White Male 0 1
64 Private 1st-4th 2 Divorced Priv-house-serv Not-in-family White Female 0 0
40 Private Some-college 10 Married-civ-spouse Prof-specialty Husband White Male 0 1
49 Federal-gov HS-grad 9 Widowed Adm-clerical Not-in-family White Female 0 0
23 Private Bachelors 13 Never-married Prof-specialty Own-child White Female 0 0
34 Private Some-college 10 Divorced Adm-clerical Unmarried White Female 0 0
38 Private 11th 7 Married-civ-spouse Craft-repair Husband White Male 5178 1
47 Self-emp-not-inc Some-college 10 Married-civ-spouse Farming-fishing Husband White Male 0 0
30 Private HS-grad 9 Never-married Adm-clerical Other-relative White Female 0 0
36 Private Assoc-acdm 12 Married-civ-spouse Adm-clerical Husband White Male 0 1
23 Local-gov Bachelors 13 Never-married Prof-specialty Not-in-family White Female 0 0
47 Self-emp-not-inc Some-college 10 Married-civ-spouse Exec-managerial Husband White Male 0 0
61 Private HS-grad 9 Divorced Adm-clerical Not-in-family White Female 0 0
47 Self-emp-not-inc Bachelors 13 Married-civ-spouse Sales Husband White Male 0 0
56 Private Bachelors 13 Married-civ-spouse Prof-specialty Husband White Male 0 1
20 Private 12th 8 Never-married Sales Not-in-family White Female 0 0
33 Private HS-grad 9 Married-civ-spouse Machine-op-inspct Wife White Female 0 1
36 Self-emp-not-inc HS-grad 9 Married-civ-spouse Farming-fishing Husband White Male 0 1
34 Local-gov Some-college 10 Married-civ-spouse Protective-serv Husband White Male 0 1
56 Private HS-grad 9 Married-civ-spouse Transport-moving Husband White Male 0 0
32 Private Assoc-voc 11 Never-married Exec-managerial Not-in-family White Female 0 0
26 Private Assoc-acdm 12 Married-civ-spouse Machine-op-inspct Husband White Male 5178 1
49 Private Bachelors 13 Never-married Exec-managerial Not-in-family White Male 0 1
71 Private HS-grad 9 Married-civ-spouse Protective-serv Husband White Male 0 1
19 Private Some-college 10 Never-married Other-service Own-child White Female 0 0
20 Private Some-college 10 Never-married Tech-support Not-in-family White Female 0 0
42 Private HS-grad 9 Divorced Adm-clerical Unmarried White Female 0 0
51 Private Some-college 10 Married-civ-spouse Exec-managerial Wife White Female 0 1
38 Private Some-college 10 Married-spouse-absent Prof-specialty Own-child Black Female 0 0
38 Private 10th 6 Married-civ-spouse Machine-op-inspct Husband White Male 0 1
35 Self-emp-not-inc Bachelors 13 Divorced Exec-managerial Not-in-family White Male 0 0
24 Local-gov Bachelors 13 Married-civ-spouse Prof-specialty Wife Black Female 0 0
40 Private HS-grad 9 Divorced Adm-clerical Unmarried Black Male 0 0
21 Private HS-grad 9 Never-married Handlers-cleaners Own-child White Male 0 0
49 Private HS-grad 9 Divorced Transport-moving Not-in-family White Male 0 0
54 Private HS-grad 9 Married-civ-spouse Exec-managerial Husband White Male 0 1
52 Private Bachelors 13 Married-spouse-absent Exec-managerial Not-in-family White Female 0 0
27 Private Bachelors 13 Never-married Prof-specialty Not-in-family White Female 0 0
20 Private HS-grad 9 Never-married Machine-op-inspct Not-in-family White Male 0 0
31 Private Some-college 10 Divorced Machine-op-inspct Not-in-family White Male 0 0
25 Private HS-grad 9 Never-married Adm-clerical Own-child White Female 0 0
19 Federal-gov Some-college 10 Never-married Handlers-cleaners Own-child White Male 0 0
33 Private Some-college 10 Married-civ-spouse Craft-repair Husband White Male 0 0
23 Private Bachelors 13 Never-married Other-service Not-in-family White Male 0 0
34 Private Masters 14 Divorced Prof-specialty Unmarried White Female 0 0
42 Private Bachelors 13 Divorced Prof-specialty Unmarried White Male 0 1
37 Local-gov Masters 14 Divorced Exec-managerial Not-in-family White Female 0 0
25 Private Bachelors 13 Never-married Exec-managerial Own-child White Female 0 0
40 Private Assoc-voc 11 Married-civ-spouse Craft-repair Husband White Male 0 0
33 Self-emp-not-inc Bachelors 13 Never-married Sales Not-in-family White Female 0 0
31 Private Some-college 10 Never-married Adm-clerical Not-in-family White Female 0 0
32 Self-emp-inc Bachelors 13 Married-civ-spouse Sales Husband White Male 0 0
54 Self-emp-inc Bachelors 13 Married-civ-spouse Sales Husband White Male 0 1
32 Self-emp-not-inc HS-grad 9 Married-civ-spouse Craft-repair Husband White Male 0 0
29 Local-gov HS-grad 9 Married-civ-spouse Transport-moving Husband Black Male 0 0
26 Local-gov Some-college 10 Married-civ-spouse Prof-specialty Husband White Male 0 0
39 Self-emp-not-inc Some-college 10 Married-civ-spouse Farming-fishing Husband White Male 0 0
57 Private Bachelors 13 Married-civ-spouse Prof-specialty Husband White Male 3103 1
54 Private Some-college 10 Married-civ-spouse Farming-fishing Husband White Male 0 0
57 Private 10th 6 Married-civ-spouse Machine-op-inspct Husband White Male 0 0
23 Federal-gov Bachelors 13 Never-married Prof-specialty Not-in-family White Male 0 0
27 Self-emp-not-inc Some-college 10 Married-civ-spouse Exec-managerial Husband White Male 0 1
42 Private Bachelors 13 Never-married Exec-managerial Not-in-family White Male 0 1
31 Private 10th 6 Married-civ-spouse Craft-repair Husband White Male 0 0
49 Local-gov Masters 14 Divorced Prof-specialty Not-in-family White Female 0 0
50 Private HS-grad 9 Married-civ-spouse Craft-repair Husband White Male 0 0
46 Local-gov HS-grad 9 Divorced Adm-clerical Unmarried White Female 0 0
37 Private HS-grad 9 Divorced Sales Not-in-family White Male 0 0
26 Private HS-grad 9 Married-civ-spouse Craft-repair Husband White Male 0 0
27 Private Bachelors 13 Divorced Adm-clerical Not-in-family White Female 0 0
24 Private Some-college 10 Never-married Exec-managerial Own-child White Male 0 0
24 Self-emp-inc HS-grad 9 Never-married Craft-repair Own-child White Male 0 0
29 Private HS-grad 9 Divorced Sales Not-in-family White Female 0 0
47 Private Bachelors 13 Married-civ-spouse Prof-specialty Husband White Male 0 1
33 Self-emp-not-inc Some-college 10 Married-civ-spouse Sales Husband White Male 0 0
26 Private Assoc-acdm 12 Divorced Prof-specialty Unmarried White Female 0 0
20 Private Some-college 10 Never-married Craft-repair Own-child White Male 0 0
25 Private Assoc-voc 11 Married-civ-spouse Prof-specialty Wife White Female 0 1
57 State-gov Bachelors 13 Divorced Adm-clerical Unmarried White Male 2174 0
36 Private HS-grad 9 Married-civ-spouse Transport-moving Husband White Male 0 0
25 Private Masters 14 Married-civ-spouse Exec-managerial Husband White Male 0 0
46 Private Bachelors 13 Married-civ-spouse Machine-op-inspct Husband White Male 0 1
39 Private HS-grad 9 Married-civ-spouse Adm-clerical Husband White Male 4508 0
29 Private Some-college 10 Married-civ-spouse Craft-repair Husband White Male 0 1
18 Private 11th 7 Never-married Exec-managerial Own-child White Female 0 0
46 Private Assoc-voc 11 Married-civ-spouse Tech-support Husband White Male 0 0
61 Private Bachelors 13 Married-civ-spouse Sales Husband White Male 0 1
41 Private HS-grad 9 Widowed Sales Not-in-family White Female 0 0
50 Private Some-college 10 Divorced Machine-op-inspct Not-in-family Black Female 0 0
53 Private Bachelors 13 Married-civ-spouse Exec-managerial Husband Asian-Pac-Islander Male 99999 1
36 Local-gov Bachelors 13 Never-married Protective-serv Not-in-family White Male 0 0
38 Private Some-college 10 Never-married Adm-clerical Unmarried Black Female 0 0
75 Self-emp-not-inc HS-grad 9 Married-civ-spouse Sales Husband White Male 0 0
26 Private Assoc-voc 11 Married-civ-spouse Adm-clerical Wife White Female 0 1
44 Private Bachelors 13 Married-civ-spouse Exec-managerial Husband White Male 0 1
25 Private HS-grad 9 Never-married Adm-clerical Own-child White Female 0 0
31 Private Some-college 10 Never-married Sales Own-child White Female 0 0
49 Private 12th 8 Never-married Transport-moving Not-in-family Asian-Pac-Islander Male 0 0
34 Private HS-grad 9 Married-civ-spouse Machine-op-inspct Husband White Male 0 0
31 Self-emp-not-inc HS-grad 9 Married-civ-spouse Prof-specialty Husband White Male 0 0
47 Self-emp-not-inc Some-college 10 Divorced Craft-repair Not-in-family White Male 0 0
38 Private Bachelors 13 Married-civ-spouse Exec-managerial Husband White Male 7298 1
18 Private HS-grad 9 Never-married Craft-repair Own-child White Female 0 0
47 Private 9th 5 Divorced Other-service Not-in-family White Female 0 0
42 Private HS-grad 9 Never-married Craft-repair Not-in-family White Male 0 0
29 Private Bachelors 13 Never-married Sales Own-child White Male 0 0
38 Local-gov Some-college 10 Divorced Protective-serv Not-in-family White Male 0 0
22 Private Some-college 10 Never-married Sales Own-child Black Female 0 0
32 Private HS-grad 9 Never-married Craft-repair Own-child White Male 0 0
20 Private Some-college 10 Never-married Adm-clerical Own-child White Male 0 0
41 Private Prof-school 15 Married-civ-spouse Sales Husband White Male 0 0
46 Private HS-grad 9 Married-civ-spouse Transport-moving Husband Black Male 0 1
44 Private HS-grad 9 Married-civ-spouse Adm-clerical Wife White Female 0 0
35 Private Bachelors 13 Never-married Adm-clerical Not-in-family White Female 0 0
60 Private HS-grad 9 Married-civ-spouse Craft-repair Husband White Male 15024 1
36 Local-gov 9th 5 Married-civ-spouse Craft-repair Husband White Male 0 0
30 Private Some-college 10 Never-married Craft-repair Unmarried White Male 0 0
40 State-gov Doctorate 16 Married-civ-spouse Prof-specialty Husband White Male 0 1
21 Private Some-college 10 Never-married Adm-clerical Own-child White Female 2176 0
25 Private Bachelors 13 Never-married Prof-specialty Not-in-family White Female 0 0
56 State-gov Masters 14 Divorced Prof-specialty Not-in-family White Male 0 0
42 Private Some-college 10 Married-civ-spouse Exec-managerial Husband White Male 99999 1
26 Private 7th-8th 4 Never-married Handlers-cleaners Unmarried White Male 0 0
66 Self-emp-inc HS-grad 9 Married-civ-spouse Adm-clerical Wife White Female 0 1
48 Private 7th-8th 4 Married-civ-spouse Craft-repair Husband White Male 0 0
35 Private Some-college 10 Never-married Sales Unmarried White Male 0 0
41 Private Masters 14 Married-civ-spouse Prof-specialty Husband White Male 0 1
19 Private Some-college 10 Never-married Sales Own-child White Female 0 0
55 Self-emp-not-inc HS-grad 9 Married-civ-spouse Sales Husband White Male 0 0
42 Self-emp-not-inc Bachelors 13 Married-civ-spouse Craft-repair Husband White Male 15024 1
45 Private Some-college 10 Divorced Transport-moving Not-in-family White Male 0 0
29 Private Bachelors 13 Never-married Handlers-cleaners Not-in-family White Male 0 0
42 Self-emp-not-inc Doctorate 16 Married-civ-spouse Prof-specialty Husband White Male 15024 1
65 Private HS-grad 9 Divorced Sales Not-in-family White Female 0 0
30 Private Assoc-acdm 12 Never-married Other-service Other-relative Asian-Pac-Islander Male 0 0
43 Private Some-college 10 Married-civ-spouse Craft-repair Husband White Male 0 0
61 Private 7th-8th 4 Married-civ-spouse Machine-op-inspct Husband White Male 0 0
22 Private Some-college 10 Never-married Other-service Not-in-family White Female 0 0
23 Private 11th 7 Separated Other-service Unmarried White Female 0 0
34 Private HS-grad 9 Married-civ-spouse Machine-op-inspct Husband White Male 0 0
51 Private HS-grad 9 Widowed Prof-specialty Unmarried White Female 0 0
21 Private Some-college 10 Never-married Adm-clerical Own-child White Female 0 0
